GeneID	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18	Sample_19	Sample_20	Sample_21	Sample_22	Sample_23	Sample_24
ENSMUSG00000086706	0	0	1	0	74	0	14	0	3	0	0	0	0	0	0	56	0	42	0	0	0	0	2	1
ENSMUSG00000026417	1833	1988	2381	1	6216	2	75	1190	140	1	1	4	168	479	0	7240	2	134	1122	223	4	11	7	63
ENSMUSG00000042474	0	1	0	0	3	1	1	1	7	0	1	5	0	0	0	5	0	4	0	48	0	6	13	3
ENSMUSG00000026416	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000016524	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000016529	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	2	0	0	0	2	0	3	2	1
ENSMUSG00000016528	12	25	17	8	34	64	15	13	35	19	60	75	98	3	9	70	94	73	10	59	40	57	97	159
ENSMUSG00000088705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0
ENSMUSG00000016526	1	1	0	26	5	1	2	0	15	2	8	11	13	0	23	2	0	6	1	20	0	34	2	0
ENSMUSG00000026427	45	42	26	48	40	56	29	15	38	17	85	85	99	11	39	59	68	64	17	62	39	118	124	207
ENSMUSG00000026430	11	18	5	42	8	1	10	1	48	1	22	44	103	2	32	16	11	25	5	62	1	54	78	297
ENSMUSG00000042349	13	4	7	0	25	0	2	5	13	0	47	20	25	1	1	51	2	0	6	19	0	32	56	42
ENSMUSG00000026425	67	19	23	108	30	30	12	7	47	3	68	178	165	2	118	19	41	42	6	79	10	91	195	469
ENSMUSG00000076287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
ENSMUSG00000055184	3	0	1	9	2	4	0	0	1	0	2	4	13	0	7	10	13	1	0	4	1	5	7	31
ENSMUSG00000026432	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000004552	1	3	1	0	301	0	2	0	1	2	1	3	11	0	0	295	2	13	0	10	0	0	13	6
ENSMUSG00000052688	3	1	0	3	5	10	5	0	16	0	103	73	90	0	3	10	15	11	1	39	1	69	150	253
ENSMUSG00000042268	0	0	0	0	1	1	0	0	49	0	1	1	7	0	0	2	2	3	0	51	1	1	0	7
